date,time,grid,trap,l_ear,r_ear,sex,age,weight,hindft,notes,b_key,session_id,study
11/28/98,NA,bonrip,9a,4109343929,NA,m,NA,NA,94,NA,898,51,population
11/28/98,NA,bonrip,9b,4109314d2f,NA,f,NA,1720,96,NA,897,51,population
3/14/99,NA,bonrip,1a,4109282708,NA,f,NA,1640,101,NA,893,52,population
3/14/99,NA,bonrip,1c,413a0e011f,NA,f,NA,1670,80,NA,904,52,population
3/14/99,NA,bonrip,1d,413a051820,NA,f,NA,1480,95,NA,903,52,population
3/14/99,NA,bonrip,3a,413a3c760a,NA,f,NA,1940,137,NA,908,52,population
3/14/99,NA,bonrip,3e,413a366d15,NA,f,NA,1400,147,NA,906,52,population
3/14/99,NA,bonrip,4c,41090f5e01,NA,m,NA,1450,92,NA,878,52,population
3/14/99,NA,bonrip,6b,413a0f6448,NA,f,NA,1780,96,NA,905,52,population
3/14/99,NA,bonrip,6c,4109264b12,NA,m,NA,1860,84,NA,891,52,population
3/14/99,NA,bonrip,9a,4109257c11,NA,m,NA,1580,95,NA,890,52,population
3/14/99,NA,bonrip,9b,4142314a62,NA,f,NA,1480,130,NA,913,52,population
3/15/99,NA,bonrip,10b,4142314a62,NA,f,NA,1500,139,NA,913,52,population
3/15/99,NA,bonrip,1b,413a0e011f,NA,f,NA,1760,NA,NA,904,52,population
3/15/99,NA,bonrip,1c,4139741776,NA,m,NA,1560,102,NA,901,52,population
3/15/99,NA,bonrip,1e,413a051820,NA,f,NA,NA,96,NA,903,52,population
3/15/99,NA,bonrip,5b,413a0f6448,NA,f,NA,1580,141,NA,905,52,population
3/15/99,NA,bonrip,6a,41093a0623,NA,f,NA,1600,95,NA,900,52,population
3/15/99,NA,bonrip,6c,41090f5e01,NA,m,NA,1420,90,NA,878,52,population
3/15/99,NA,bonrip,7a,413a4a1e47,NA,m,NA,1660,138,NA,909,52,population
3/15/99,NA,bonrip,7c,4109264b12,NA,m,NA,1510,85,NA,891,52,population
3/15/99,NA,bonrip,9a,4109257c11,NA,m,NA,NA,94,NA,890,52,population
3/15/99,NA,bonrip,9b,4109253d4b,NA,f,NA,1820,105,NA,889,52,population
3/15/99,NA,bonrip,9e,41092a5a14,NA,m,NA,1580,88,NA,896,52,population
3/16/99,NA,bonrip,10c,4142314a62,NA,f,NA,NA,132,NA,913,52,population
3/16/99,NA,bonrip,1b,414d182b2a,NA,f,NA,1700,NA,NA,925,52,population
3/16/99,NA,bonrip,1c,413a3c426d,NA,f,NA,1300,133,NA,907,52,population
3/16/99,NA,bonrip,3b,41090f5e01,NA,m,NA,1200,108,NA,878,52,population
3/16/99,NA,bonrip,3e,413a366d15,NA,f,NA,1350,138,NA,906,52,population
3/16/99,NA,bonrip,5a,41093a0623,NA,f,NA,NA,79,NA,900,52,population
3/16/99,NA,bonrip,6c,4109264b12,NA,m,NA,NA,88,NA,891,52,population
3/16/99,NA,bonrip,7a,4139785059,NA,f,NA,1300,NA,NA,902,52,population
3/16/99,NA,bonrip,7b,413a4a1e47,NA,m,NA,NA,137,NA,909,52,population
3/16/99,NA,bonrip,7c,41090f6220,NA,m,NA,1300,82,NA,879,52,population
3/16/99,NA,bonrip,7e,41092a5a14,NA,m,NA,NA,102,NA,896,52,population
3/16/99,NA,bonrip,8a,4109253d4b,NA,f,NA,NA,98,NA,889,52,population
3/17/99,NA,bonrip,1b,413a3c426d,NA,f,NA,NA,135,NA,907,52,population
3/17/99,NA,bonrip,1c,413a0e011f,NA,f,NA,1720,95,NA,904,52,population
3/17/99,NA,bonrip,2b,4109282708,NA,f,NA,1780,85,NA,893,52,population
3/17/99,NA,bonrip,3b,41423b0c05,NA,f,NA,1780,138,NA,914,52,population
3/17/99,NA,bonrip,3d,413a366d15,NA,f,NA,1380,142,NA,906,52,population
3/17/99,NA,bonrip,4c,41090f5e01,NA,m,NA,1320,143,NA,878,52,population
3/17/99,NA,bonrip,5b,41093a0623,NA,f,NA,1470,139,NA,900,52,population
3/17/99,NA,bonrip,5e,414249393c,NA,f,NA,1800,135,NA,915,52,population
3/17/99,NA,bonrip,6c,4109264b12,NA,m,NA,NA,NA,NA,891,52,population
3/17/99,NA,bonrip,7b,413a4a1e47,NA,m,NA,NA,136,NA,909,52,population
3/17/99,NA,bonrip,7e,41090f6220,NA,m,NA,NA,85,NA,879,52,population
3/17/99,NA,bonrip,8a,4109253d4b,NA,f,NA,1375,138,NA,889,52,population
3/17/99,NA,bonrip,9a,4142314a62,NA,f,NA,NA,115,NA,913,52,population
3/17/99,NA,bonrip,9d,41092a5a14,NA,m,NA,NA,133,NA,896,52,population
6/23/99,NA,bonrip,2c,68,69,m,j,395,126,NA,643,53,population
6/23/99,NA,bonrip,2e,70,71,f,j,420,137,NA,653,53,population
6/23/99,NA,bonrip,3d,72,73,m,j,445,144,NA,944,53,population
6/23/99,NA,bonrip,4b,76,77,m,j,410,115,NA,663,53,population
6/23/99,NA,bonrip,4c,78,79,m,j,430,132,NA,670,53,population
6/23/99,NA,bonrip,4c,74,75,m,j,520,139,NA,661,53,population
6/23/99,NA,bonrip,4d,74,75,m,j,435,124,NA,661,53,population
6/24/99,NA,bonrip,2b,80,81,m,j,545,126,NA,675,53,population
6/24/99,NA,bonrip,3a,94,95,m,j,425,120,NA,718,53,population
6/24/99,NA,bonrip,3c,78,79,m,j,425,139,NA,670,53,population
6/24/99,NA,bonrip,3e,82,83,f,j,480,87,NA,685,53,population
6/24/99,NA,bonrip,5d,84,85,f,j,530,126,NA,696,53,population
6/24/99,NA,bonrip,8d,96,97,f,j,355,118,NA,719,53,population
6/24/99,NA,bonrip,9a,98,99,m,j,590,128,NA,720,53,population
6/25/99,NA,bonrip,10a,114,115,m,j,425,127,NA,45,53,population
6/25/99,NA,bonrip,2b,78,79,m,j,425,123,NA,670,53,population
6/25/99,NA,bonrip,3a,108,109,m,j,400,120,NA,35,53,population
6/25/99,NA,bonrip,5d,110,111,m,j,395,126,NA,41,53,population
6/25/99,NA,bonrip,6d,84,85,f,j,NA,123,NA,696,53,population
6/25/99,NA,bonrip,7b,112,113,m,j,660,120,NA,43,53,population
8/24/99,NA,bonrip,10c,524,525,f,a,1170,140,NA,563,54,population
8/24/99,NA,bonrip,2a,503,504,m,a,1180,138,NA,553,54,population
8/24/99,NA,bonrip,2b,501,502,m,a,1310,148,NA,552,54,population
8/24/99,NA,bonrip,2e,98,99,m,j,1380,123,NA,720,54,population
8/24/99,NA,bonrip,3c,78,79,f,j,1090,NA,NA,670,54,population
8/24/99,NA,bonrip,3d,72,505,m,j,1400,145,NA,945,54,population
8/24/99,NA,bonrip,3e,507,506,m,j,930,125,NA,554,54,population
8/24/99,NA,bonrip,4a,417,418,f,a,1180,138,NA,514,54,population
8/24/99,NA,bonrip,4d,508,509,f,a,1000,139,NA,555,54,population
8/24/99,NA,bonrip,4e,110,111,m,j,1180,136,NA,41,54,population
8/24/99,NA,bonrip,5a,419,420,m,j,1040,139,NA,515,54,population
8/24/99,NA,bonrip,5b,421,422,m,j,910,126,NA,516,54,population
8/24/99,NA,bonrip,5d,510,511,f,a,1750,122,NA,556,54,population
8/24/99,NA,bonrip,6b,423,424,f,a,1350,114,NA,517,54,population
8/24/99,NA,bonrip,6d,512,513,f,a,1060,140,NA,557,54,population
8/24/99,NA,bonrip,7b,425,426,m,a,1190,115,NA,518,54,population
8/24/99,NA,bonrip,7c,518,519,f,a,1040,140,NA,560,54,population
8/24/99,NA,bonrip,7d,514,515,m,a,1010,135,NA,558,54,population
8/24/99,NA,bonrip,7e,516,517,m,j,990,NA,NA,559,54,population
8/24/99,NA,bonrip,8b,427,428,f,j,1020,123,NA,519,54,population
8/24/99,NA,bonrip,8c,520,521,m,a,1140,134,NA,561,54,population
8/24/99,NA,bonrip,8e,431,432,f,a,1290,108,NA,521,54,population
8/24/99,NA,bonrip,8e,522,523,f,a,1810,NA,NA,562,54,population
8/24/99,NA,bonrip,9c,429,430,f,a,1510,109,NA,520,54,population
8/25/99,NA,bonrip,10c,538,539,f,j,1090,130,NA,571,54,population
8/25/99,NA,bonrip,1a,443,444,m,a,1180,125,NA,527,54,population
8/25/99,NA,bonrip,1a,433,434,f,a,1050,127,NA,522,54,population
8/25/99,NA,bonrip,1b,415,476,f,a,1900,140,NA,973,54,population
8/25/99,NA,bonrip,1e,435,436,m,a,1860,120,NA,523,54,population
8/25/99,NA,bonrip,2b,473,474,m,a,1200,120,NA,540,54,population
8/25/99,NA,bonrip,2b,443,444,m,a,1160,127,NA,527,54,population
8/25/99,NA,bonrip,2c,441,442,m,a,1060,124,NA,526,54,population
8/25/99,NA,bonrip,2d,439,440,f,a,1060,125,NA,525,54,population
8/25/99,NA,bonrip,2e,98,99,m,j,1390,123,NA,720,54,population
8/25/99,NA,bonrip,2e,501,502,m,a,1320,127,NA,552,54,population
8/25/99,NA,bonrip,3a,108,109,m,j,1160,125,NA,35,54,population
8/25/99,NA,bonrip,3d,72,505,m,j,1350,140,NA,945,54,population
8/25/99,NA,bonrip,3d,110,111,m,j,1160,132,NA,41,54,population
8/25/99,NA,bonrip,3e,437,438,f,a,1840,120,NA,524,54,population
8/25/99,NA,bonrip,4a,445,446,m,a,1080,134,NA,528,54,population
8/25/99,NA,bonrip,4d,471,472,f,a,1080,120,NA,942,54,population
8/25/99,NA,bonrip,4e,72,505,m,j,1320,115,NA,945,54,population
8/25/99,NA,bonrip,5b,508,509,f,a,1130,149,NA,555,54,population
8/25/99,NA,bonrip,5b,448,449,f,j,960,127,NA,529,54,population
8/25/99,NA,bonrip,5d,450,451,f,j,960,129,NA,530,54,population
8/25/99,NA,bonrip,5e,110,111,m,j,1230,120,NA,41,54,population
8/25/99,NA,bonrip,5e,452,453,f,j,960,142,NA,531,54,population
8/25/99,NA,bonrip,6c,458,459,f,a,1950,135,NA,534,54,population
8/25/99,NA,bonrip,6d,468,469,m,a,1470,129,NA,539,54,population
8/25/99,NA,bonrip,6d,456,457,f,a,1150,117,NA,533,54,population
8/25/99,NA,bonrip,7b,427,428,f,a,1110,121,NA,519,54,population
8/25/99,NA,bonrip,7b,544,545,f,a,1330,133,NA,574,54,population
8/25/99,NA,bonrip,7c,542,543,m,a,1290,140,NA,573,54,population
8/25/99,NA,bonrip,7d,454,455,m,a,1210,122,NA,532,54,population
8/25/99,NA,bonrip,8a,460,461,m,j,910,141,NA,535,54,population
8/25/99,NA,bonrip,8b,462,463,m,a,1380,136,NA,536,54,population
8/25/99,NA,bonrip,8c,520,521,m,a,1200,142,NA,561,54,population
8/25/99,NA,bonrip,8c,520,521,m,a,1100,138,NA,561,54,population
8/25/99,NA,bonrip,8d,425,426,m,a,1210,123,NA,518,54,population
8/25/99,NA,bonrip,8d,425,426,m,a,1170,116,NA,518,54,population
8/25/99,NA,bonrip,8e,540,541,m,a,1780,138,NA,572,54,population
8/25/99,NA,bonrip,8e,466,467,m,a,1060,144,NA,538,54,population
8/25/99,NA,bonrip,9b,114,115,m,j,1410,NA,NA,45,54,population
8/26/99,NA,bonrip,10c,114,115,m,j,1410,140,NA,45,54,population
8/26/99,NA,bonrip,10c,538,539,f,a,1050,NA,NA,571,54,population
8/26/99,NA,bonrip,1a,546,547,f,a,1220,NA,NA,575,54,population
8/26/99,NA,bonrip,1c,501,502,m,a,1420,126,NA,552,54,population
8/26/99,NA,bonrip,1c,566,567,m,a,1360,NA,NA,585,54,population
8/26/99,NA,bonrip,1e,548,549,m,a,1510,139,NA,576,54,population
8/26/99,NA,bonrip,2a,554,555,f,a,1580,143,NA,579,54,population
8/26/99,NA,bonrip,2b,439,440,f,NA,980,111,NA,525,54,population
8/26/99,NA,bonrip,2c,552,553,m,a,1490,NA,NA,578,54,population
8/26/99,NA,bonrip,2d,78,79,f,j,1080,115,NA,670,54,population
8/26/99,NA,bonrip,2e,501,502,m,a,1460,123,NA,552,54,population
8/26/99,NA,bonrip,2e,550,551,m,j,900,140,NA,577,54,population
8/26/99,NA,bonrip,3b,556,557,f,a,1120,145,NA,580,54,population
8/26/99,NA,bonrip,3c,558,559,m,a,1720,141,NA,581,54,population
8/26/99,NA,bonrip,3d,72,505,m,j,1320,139,NA,945,54,population
8/26/99,NA,bonrip,3e,72,505,m,j,1280,149,NA,945,54,population
8/26/99,NA,bonrip,4a,491,NA,f,a,2090,139,no right ear tag,943,54,population
8/26/99,NA,bonrip,4b,563,562,f,a,1480,NA,NA,583,54,population
8/26/99,NA,bonrip,4d,560,561,f,a,1530,135,NA,582,54,population
8/26/99,NA,bonrip,5a,458,459,f,a,2060,135,NA,534,54,population
8/26/99,NA,bonrip,5a,458,459,f,a,1930,NA,NA,534,54,population
8/26/99,NA,bonrip,5b,603,604,m,a,1710,138,NA,604,54,population
8/26/99,NA,bonrip,5c,564,565,f,a,1530,138,NA,584,54,population
8/26/99,NA,bonrip,5e,450,451,f,j,990,133,NA,530,54,population
8/26/99,NA,bonrip,6a,499,500,f,j,710,131,NA,551,54,population
8/26/99,NA,bonrip,6c,96,97,f,j,1620,122,NA,719,54,population
8/26/99,NA,bonrip,6d,512,513,f,a,1150,135,NA,557,54,population
8/26/99,NA,bonrip,7a,601,602,m,j,1070,135,NA,603,54,population
8/26/99,NA,bonrip,7a,497,498,m,a,1110,139,NA,550,54,population
8/26/99,NA,bonrip,7d,495,496,m,a,1230,134,NA,549,54,population
8/26/99,NA,bonrip,7e,514,515,m,j,940,123,NA,558,54,population
8/26/99,NA,bonrip,8d,516,517,m,a,1170,142,NA,559,54,population
8/26/99,NA,bonrip,9a,493,494,f,a,1200,119,NA,548,54,population
8/26/99,NA,bonrip,9c,429,430,f,a,1430,112,NA,520,54,population
8/27/99,NA,bonrip,10a,615,616,f,a,1100,135,NA,610,54,population
8/27/99,NA,bonrip,10b,619,620,m,a,1110,145,NA,612,54,population
8/27/99,NA,bonrip,10b,617,618,f,j,1080,135,NA,611,54,population
8/27/99,NA,bonrip,10b,627,628,f,a,2200,151,NA,616,54,population
8/27/99,NA,bonrip,10d,538,539,f,a,1180,133,NA,571,54,population
8/27/99,NA,bonrip,1c,578,579,m,a,1680,140,NA,591,54,population
8/27/99,NA,bonrip,2e,452,453,f,j,1000,137,NA,531,54,population
8/27/99,NA,bonrip,3a,108,109,m,j,1030,150,NA,35,54,population
8/27/99,NA,bonrip,3c,584,585,m,j,1030,142,NA,594,54,population
8/27/99,NA,bonrip,3d,582,583,m,j,1000,NA,NA,593,54,population
8/27/99,NA,bonrip,3e,580,581,m,j,1060,139,NA,592,54,population
8/27/99,NA,bonrip,4b,508,509,f,j,1080,117,NA,555,54,population
8/27/99,NA,bonrip,4b,586,587,m,a,1650,NA,NA,595,54,population
8/27/99,NA,bonrip,4c,471,472,f,a,1220,121,NA,942,54,population
8/27/99,NA,bonrip,4d,508,509,f,j,1020,142,NA,555,54,population
8/27/99,NA,bonrip,4e,72,505,m,j,1290,117,NA,945,54,population
8/27/99,NA,bonrip,5a,588,589,m,j,980,149,NA,596,54,population
8/27/99,NA,bonrip,5b,458,459,f,NA,NA,139,NA,534,54,population
8/27/99,NA,bonrip,5c,450,451,f,j,1010,134,NA,530,54,population
8/27/99,NA,bonrip,5c,445,446,m,j,1060,126,NA,528,54,population
8/27/99,NA,bonrip,5d,445,446,m,a,1140,136,NA,528,54,population
8/27/99,NA,bonrip,5d,564,565,f,a,1380,137,NA,584,54,population
8/27/99,NA,bonrip,5d,563,562,f,a,1370,133,NA,583,54,population
8/27/99,NA,bonrip,5e,452,453,f,j,1040,132,NA,531,54,population
8/27/99,NA,bonrip,6d,590,591,m,a,1350,NA,NA,597,54,population
8/27/99,NA,bonrip,7a,462,463,m,a,1400,135,NA,536,54,population
8/27/99,NA,bonrip,7a,625,626,m,j,1000,149,NA,615,54,population
8/27/99,NA,bonrip,7b,427,428,f,j,1070,124,NA,519,54,population
8/27/99,NA,bonrip,7b,427,428,f,a,1130,123,NA,519,54,population
8/27/99,NA,bonrip,7c,454,455,m,a,1170,146,NA,532,54,population
8/27/99,NA,bonrip,7d,542,543,m,a,1420,133,NA,573,54,population
8/27/99,NA,bonrip,7e,516,517,m,a,1140,140,NA,559,54,population
8/27/99,NA,bonrip,7e,431,432,f,a,1340,122,NA,521,54,population
8/27/99,NA,bonrip,8b,462,463,m,a,1350,136,NA,536,54,population
8/27/99,NA,bonrip,8c,516,517,m,a,1100,145,NA,559,54,population
8/27/99,NA,bonrip,8d,623,624,m,a,1700,NA,NA,614,54,population
8/27/99,NA,bonrip,8e,522,523,f,a,1920,142,NA,562,54,population
8/27/99,NA,bonrip,8e,522,523,f,a,1780,147,NA,562,54,population
8/27/99,NA,bonrip,9b,621,622,m,a,1360,146,NA,613,54,population
8/27/99,NA,bonrip,9d,520,521,m,a,1280,NA,NA,561,54,population
8/28/99,NA,bonrip,10a,114,115,m,j,1470,110,NA,45,54,population
8/28/99,NA,bonrip,10b,592,593,m,a,1540,130,NA,598,54,population
8/28/99,NA,bonrip,10c,594,595,m,a,1450,134,NA,599,54,population
8/28/99,NA,bonrip,1c,629,630,m,j,1070,150,NA,618,54,population
8/28/99,NA,bonrip,1e,524,525,f,a,1160,NA,NA,563,54,population
8/28/99,NA,bonrip,2a,633,634,f,a,1460,NA,NA,620,54,population
8/28/99,NA,bonrip,2b,439,440,f,j,910,118,NA,525,54,population
8/28/99,NA,bonrip,2c,473,474,m,a,1110,119,NA,540,54,population
8/28/99,NA,bonrip,2d,584,585,m,a,1100,138,NA,594,54,population
8/28/99,NA,bonrip,2e,631,632,f,a,1570,129,NA,619,54,population
8/28/99,NA,bonrip,3b,558,559,m,a,1570,NA,NA,581,54,population
8/28/99,NA,bonrip,3c,68,69,m,j,1510,NA,NA,643,54,population
8/28/99,NA,bonrip,3d,72,505,m,j,1210,140,NA,945,54,population
8/28/99,NA,bonrip,3e,78,79,f,j,1040,140,NA,670,54,population
8/28/99,NA,bonrip,4a,635,636,f,j,1090,150,NA,621,54,population
8/28/99,NA,bonrip,4b,450,451,f,j,890,130,NA,530,54,population
8/28/99,NA,bonrip,4c,563,562,f,a,1300,134,NA,583,54,population
8/28/99,NA,bonrip,4d,508,509,f,a,1140,132,NA,555,54,population
8/28/99,NA,bonrip,5a,458,459,f,a,1920,124,NA,534,54,population
8/28/99,NA,bonrip,5b,637,638,f,j,1070,149,NA,622,54,population
8/28/99,NA,bonrip,5c,445,446,m,j,1040,NA,NA,528,54,population
8/28/99,NA,bonrip,5d,452,453,f,a,1110,NA,NA,531,54,population
8/28/99,NA,bonrip,6a,499,500,f,NA,NA,135,NA,551,54,population
8/28/99,NA,bonrip,6a,652,653,m,a,1250,147,NA,629,54,population
8/28/99,NA,bonrip,6b,423,424,f,a,1350,119,NA,517,54,population
8/28/99,NA,bonrip,6d,512,513,f,j,1080,123,NA,557,54,population
8/28/99,NA,bonrip,7a,427,428,f,a,1110,140,NA,519,54,population
8/28/99,NA,bonrip,7b,600,651,m,a,1160,141,NA,602,54,population
8/28/99,NA,bonrip,7c,514,515,m,j,910,120,NA,558,54,population
8/28/99,NA,bonrip,8b,598,599,f,a,1140,138,NA,601,54,population
8/28/99,NA,bonrip,8e,516,517,m,j,1070,136,NA,559,54,population
8/28/99,NA,bonrip,9a,596,597,m,a,1270,NA,NA,600,54,population
8/28/99,NA,bonrip,9b,466,467,m,j,1050,140,NA,538,54,population
8/28/99,NA,bonrip,9c,520,521,m,a,1130,NA,NA,561,54,population
11/12/99,NA,bonrip,2b,649,648,f,NA,1800,146,NA,628,55,population
11/12/99,NA,bonrip,2e,98,99,m,j,1650,140,NA,720,55,population
11/12/99,NA,bonrip,3c,558,559,m,NA,1900,142,NA,581,55,population
11/12/99,NA,bonrip,4d,586,587,m,NA,1670,139,NA,595,55,population
11/12/99,NA,bonrip,5a,419,420,m,NA,1460,135,NA,515,55,population
11/12/99,NA,bonrip,6b,647,650,m,NA,1820,145,NA,627,55,population
11/12/99,NA,bonrip,9a,594,595,m,NA,1760,144,NA,599,55,population
11/13/99,NA,bonrip,10b,667,666,m,NA,1710,145,NA,637,55,population
11/13/99,NA,bonrip,10c,114,115,m,j,1580,144,NA,45,55,population
11/13/99,NA,bonrip,2e,663,662,m,NA,1760,139,NA,635,55,population
11/13/99,NA,bonrip,3e,471,472,f,NA,1320,137,NA,942,55,population
11/13/99,NA,bonrip,4d,679,678,m,NA,1600,147,NA,642,55,population
11/13/99,NA,bonrip,5a,458,459,f,NA,2260,155,NA,534,55,population
11/13/99,NA,bonrip,6a,647,650,m,NA,1700,NA,NA,627,55,population
11/13/99,NA,bonrip,7c,677,676,f,NA,1700,152,NA,640,55,population
11/13/99,NA,bonrip,8b,462,463,m,NA,1640,145,NA,536,55,population
11/13/99,NA,bonrip,9a,617,618,f,j,NA,143,NA,611,55,population
11/13/99,NA,bonrip,9e,664,665,m,NA,1690,149,NA,636,55,population
11/14/99,NA,bonrip,10a,617,618,f,j,700,138,NA,611,55,population
11/14/99,NA,bonrip,10d,520,521,m,NA,750,142,NA,561,55,population
11/14/99,NA,bonrip,10e,714,715,m,NA,760,143,NA,654,55,population
11/14/99,NA,bonrip,2a,554,555,f,NA,1800,144,NA,579,55,population
11/14/99,NA,bonrip,2b,471,472,f,NA,1240,138,NA,942,55,population
11/14/99,NA,bonrip,2c,681,680,f,NA,1600,136,NA,644,55,population
11/14/99,NA,bonrip,3c,452,453,f,j,595,123,NA,531,55,population
11/14/99,NA,bonrip,3d,558,559,m,NA,1920,144,NA,581,55,population
11/14/99,NA,bonrip,3e,82,83,f,j,700,144,NA,685,55,population
11/14/99,NA,bonrip,4a,586,587,m,NA,1550,NA,NA,595,55,population
11/14/99,NA,bonrip,4b,668,669,f,NA,1080,140,NA,638,55,population
11/14/99,NA,bonrip,4c,679,678,m,NA,1520,142,NA,642,55,population
11/14/99,NA,bonrip,5d,458,459,f,NA,2000,154,NA,534,55,population
11/14/99,NA,bonrip,7b,462,463,m,NA,1590,141,NA,536,55,population
11/14/99,NA,bonrip,7c,623,624,m,NA,1780,149,NA,614,55,population
11/14/99,NA,bonrip,8b,647,650,m,NA,1680,145,NA,627,55,population
11/14/99,NA,bonrip,9a,677,676,f,NA,1080,152,NA,640,55,population
11/14/99,NA,bonrip,9b,594,595,m,NA,1680,147,NA,599,55,population
11/14/99,NA,bonrip,9c,544,545,f,NA,1660,150,NA,574,55,population
11/14/99,NA,bonrip,9d,466,467,m,NA,1460,143,NA,538,55,population
